symbol,z_window,phase_used,corr_method,n_rows,n_features,n_high_corr_pairs_ge_085,max_abs_feature_corr,mean_abs_feature_corr,timestamp_min,timestamp_max
BTCUSDT,24,train,spearman,5649,54,44,0.9999682880278615,0.27902291301465093,2021-11-28 08:00:00+00:00,2024-06-26 16:00:00+00:00
ETHUSDT,24,train,spearman,5649,54,52,0.9999492304463077,0.28791545733004326,2021-11-28 08:00:00+00:00,2024-06-26 16:00:00+00:00
SOLUSDT,24,train,spearman,5649,54,51,0.9998832176342459,0.28774977132348395,2021-11-28 08:00:00+00:00,2024-06-26 16:00:00+00:00
BTCUSDT,48,train,spearman,5625,54,59,0.9999307878967326,0.2921819028322508,2021-12-02 08:00:00+00:00,2024-06-26 16:00:00+00:00
ETHUSDT,48,train,spearman,5625,54,60,0.9999104416143227,0.29921093019660144,2021-12-02 08:00:00+00:00,2024-06-26 16:00:00+00:00
SOLUSDT,48,train,spearman,5625,54,62,0.9997706596933653,0.3013813749204666,2021-12-02 08:00:00+00:00,2024-06-26 16:00:00+00:00
BTCUSDT,72,train,spearman,5601,54,59,0.9999050204009522,0.2992601608371064,2021-12-06 08:00:00+00:00,2024-06-26 16:00:00+00:00
ETHUSDT,72,train,spearman,5601,54,60,0.9998723605745086,0.30450118065548865,2021-12-06 08:00:00+00:00,2024-06-26 16:00:00+00:00
SOLUSDT,72,train,spearman,5601,54,59,0.9996414931003927,0.3092545569978686,2021-12-06 08:00:00+00:00,2024-06-26 16:00:00+00:00
BTCUSDT,96,train,spearman,5577,54,57,0.9998862777934778,0.3039572933091451,2021-12-10 08:00:00+00:00,2024-06-26 16:00:00+00:00
ETHUSDT,96,train,spearman,5577,54,58,0.999857792732574,0.3083449274449213,2021-12-10 08:00:00+00:00,2024-06-26 16:00:00+00:00
SOLUSDT,96,train,spearman,5577,54,57,0.9996447665320493,0.3142702643558572,2021-12-10 08:00:00+00:00,2024-06-26 16:00:00+00:00
BTCUSDT,168,train,spearman,5505,54,66,0.9998626292645886,0.311585244405712,2021-12-22 08:00:00+00:00,2024-06-26 16:00:00+00:00
ETHUSDT,168,train,spearman,5505,54,67,0.9997748107306388,0.3153844093372621,2021-12-22 08:00:00+00:00,2024-06-26 16:00:00+00:00
SOLUSDT,168,train,spearman,5505,54,70,0.9996000547660385,0.3197661802324519,2021-12-22 08:00:00+00:00,2024-06-26 16:00:00+00:00
