interval_minutes,interval_label,symbol,z_window,use_calendar_scaled_indicators,feature,target,horizon_bars,horizon_hours,corr_method,raw_corr,abs_corr,n_rows,n_features
30,30m,BTCUSDT,192,True,dist_ema_72_z,target_log_ret_horizon_1,1,0.5,spearman,-0.030281866135817372,0.030281866135817372,45073,54
30,30m,BTCUSDT,192,True,dist_ema_72_z,target_log_ret_horizon_3,3,1.5,spearman,-0.03874812142507871,0.03874812142507871,45073,54
30,30m,BTCUSDT,192,True,dist_ema_72_z,target_log_ret_horizon_5,5,2.5,spearman,-0.03732344586034948,0.03732344586034948,45073,54
30,30m,BTCUSDT,192,True,dist_ema_72_z,target_log_ret_horizon_10,10,5.0,spearman,-0.03376230314624638,0.03376230314624638,45073,54
30,30m,BTCUSDT,192,True,dist_ema_72_z,target_log_ret_horizon_24,24,12.0,spearman,-0.018924008360766142,0.018924008360766142,45073,54
30,30m,BTCUSDT,192,True,ema_slope_72_z,target_log_ret_horizon_1,1,0.5,spearman,-0.014187851271743244,0.014187851271743244,45073,54
30,30m,BTCUSDT,192,True,ema_slope_72_z,target_log_ret_horizon_3,3,1.5,spearman,-0.02369778196105352,0.02369778196105352,45073,54
30,30m,BTCUSDT,192,True,ema_slope_72_z,target_log_ret_horizon_5,5,2.5,spearman,-0.025772665302625695,0.025772665302625695,45073,54
30,30m,BTCUSDT,192,True,ema_slope_72_z,target_log_ret_horizon_10,10,5.0,spearman,-0.024705786581148997,0.024705786581148997,45073,54
30,30m,BTCUSDT,192,True,ema_slope_72_z,target_log_ret_horizon_24,24,12.0,spearman,-0.01610623253405133,0.01610623253405133,45073,54
30,30m,BTCUSDT,192,True,dist_ema_168_z,target_log_ret_horizon_1,1,0.5,spearman,-0.021526875281757677,0.021526875281757677,45073,54
30,30m,BTCUSDT,192,True,dist_ema_168_z,target_log_ret_horizon_3,3,1.5,spearman,-0.0300464576506252,0.0300464576506252,45073,54
30,30m,BTCUSDT,192,True,dist_ema_168_z,target_log_ret_horizon_5,5,2.5,spearman,-0.030996434002538466,0.030996434002538466,45073,54
30,30m,BTCUSDT,192,True,dist_ema_168_z,target_log_ret_horizon_10,10,5.0,spearman,-0.029075010754662185,0.029075010754662185,45073,54
30,30m,BTCUSDT,192,True,dist_ema_168_z,target_log_ret_horizon_24,24,12.0,spearman,-0.014881057156402902,0.014881057156402902,45073,54
30,30m,BTCUSDT,192,True,ema_slope_168_z,target_log_ret_horizon_1,1,0.5,spearman,-0.009115400352034236,0.009115400352034236,45073,54
