interval_minutes,interval_label,symbol,z_window,use_calendar_scaled_indicators,feature,target,horizon_bars,horizon_hours,corr_method,raw_corr,abs_corr,n_rows,n_features
30,30m,BTCUSDT,192,True,bb_pos_20_norm,target_log_ret_horizon_1,1,0.5,spearman,-0.06482821112203566,0.06482821112203566,45073,54
30,30m,BTCUSDT,192,True,MACD_hist_pct_z,target_log_ret_horizon_1,1,0.5,spearman,-0.03679124652633737,0.03679124652633737,45073,54
30,30m,BTCUSDT,192,True,dist_ema_72_z,target_log_ret_horizon_1,1,0.5,spearman,-0.030281866135817372,0.030281866135817372,45073,54
30,30m,BTCUSDT,192,True,dist_to_high_576_sqrt_z,target_log_ret_horizon_1,1,0.5,spearman,0.022383610411862997,0.022383610411862997,45073,54
30,30m,BTCUSDT,192,True,dist_to_high_192_sqrt_z,target_log_ret_horizon_1,1,0.5,spearman,0.022077085916243896,0.022077085916243896,45073,54
30,30m,BTCUSDT,192,True,dist_ema_168_z,target_log_ret_horizon_1,1,0.5,spearman,-0.021526875281757677,0.021526875281757677,45073,54
30,30m,BTCUSDT,192,True,dist_to_low_192_sqrt_z,target_log_ret_horizon_1,1,0.5,spearman,-0.018846434173319864,0.018846434173319864,45073,54
30,30m,BTCUSDT,192,True,log_ret_48_z,target_log_ret_horizon_1,1,0.5,spearman,-0.01864814470871493,0.01864814470871493,45073,54
30,30m,BTCUSDT,192,True,dist_to_high_1344_sqrt_z,target_log_ret_horizon_1,1,0.5,spearman,0.018033439829022342,0.018033439829022342,45073,54
30,30m,BTCUSDT,192,True,dist_to_low_576_sqrt_z,target_log_ret_horizon_1,1,0.5,spearman,-0.017518782944895943,0.017518782944895943,45073,54
30,30m,BTCUSDT,192,True,dist_to_low_1344_sqrt_z,target_log_ret_horizon_1,1,0.5,spearman,-0.01617669830182923,0.01617669830182923,45073,54
30,30m,BTCUSDT,192,True,price_pos_in_range_192_norm,target_log_ret_horizon_1,1,0.5,spearman,-0.01589209827457604,0.01589209827457604,45073,54
30,30m,BTCUSDT,192,True,dist_ema_400_z,target_log_ret_horizon_1,1,0.5,spearman,-0.015115104305589665,0.015115104305589665,45073,54
30,30m,BTCUSDT,192,True,ema_slope_72_z,target_log_ret_horizon_1,1,0.5,spearman,-0.014187851271743244,0.014187851271743244,45073,54
30,30m,BTCUSDT,192,True,MOM_pct_112_z,target_log_ret_horizon_1,1,0.5,spearman,-0.01330220353353512,0.01330220353353512,45073,54
30,30m,BTCUSDT,192,True,bb_pos_20_norm,target_log_ret_horizon_3,3,1.5,spearman,-0.07468899707223364,0.07468899707223364,45073,54
